away,home,start_dt,away_score,home_score,over_under
St. Louis Cardinals,Washington Nationals,2015-04-21 18:05:00-04:00,1,2,7.0
Atlanta Braves,New York Mets,2015-04-21 18:10:00-04:00,1,7,7.0
San Diego Padres,Colorado Rockies,2015-04-21 19:40:00-04:00,7,6,10.0
New York Yankees,Detroit Tigers,2015-04-21 18:05:00-04:00,5,2,8.5
Minnesota Twins,Kansas City Royals,2015-04-21 19:10:00-04:00,5,6,8.0
Oakland Athletics,Los Angeles Angels,2015-04-21 21:05:00-04:00,1,14,7.5
Chicago Cubs,Pittsburgh Pirates,2015-04-21 18:05:00-04:00,9,8,7.5
Cincinnati Reds,Milwaukee Brewers,2015-04-21 19:10:00-04:00,16,10,8.0
Baltimore Orioles,Toronto Blue Jays,2015-04-21 18:05:00-04:00,6,13,9.0
Boston Red Sox,Tampa Bay Rays,2015-04-21 18:10:00-04:00,1,0,7.5
Houston Astros,Seattle Mariners,2015-04-21 21:10:00-04:00,6,3,7.0
Texas Rangers,Arizona Diamondbacks,2015-04-21 20:40:00-04:00,7,1,9.0
Baltimore Orioles,Toronto Blue Jays,2015-04-23 18:05:00-04:00,6,7,8.5
Boston Red Sox,Tampa Bay Rays,2015-04-23 18:10:00-04:00,1,2,7.5
Atlanta Braves,New York Mets,2015-04-23 12:10:00-04:00,3,6,7.0
San Diego Padres,Colorado Rockies,2015-04-23 14:10:00-04:00,1,2,10.0
St. Louis Cardinals,Washington Nationals,2015-04-23 15:05:00-04:00,4,1,6.5
Oakland Athletics,Los Angeles Angels,2015-04-23 18:05:00-04:00,0,2,8.0
Kansas City Royals,Chicago White Sox,2015-04-23 19:10:00-04:00,3,2,7.0
Cleveland Indians,Detroit Tigers,2015-04-24 18:05:00-04:00,13,1,8.0
Kansas City Royals,Chicago White Sox,2015-04-24 19:10:00-04:00,2,2,7.5
Houston Astros,Oakland Athletics,2015-04-24 21:05:00-04:00,5,4,7.0
Chicago Cubs,Cincinnati Reds,2015-04-24 18:10:00-04:00,7,3,7.0
Toronto Blue Jays,Tampa Bay Rays,2015-04-24 18:10:00-04:00,3,12,7.5
Texas Rangers,Los Angeles Angels,2015-04-24 21:05:00-04:00,2,3,8.0
Minnesota Twins,Seattle Mariners,2015-04-24 21:10:00-04:00,0,2,6.5
New York Mets,New York Yankees,2015-04-24 18:05:00-04:00,1,6,7.0
Pittsburgh Pirates,Chicago Cubs,2015-04-27 19:05:00-04:00,0,4,7.0
Colorado Rockies,Arizona Diamondbacks,2015-04-27 20:40:00-04:00,5,4,8.5
Toronto Blue Jays,Boston Red Sox,2015-04-27 17:10:00-04:00,5,6,9.5
Tampa Bay Rays,New York Yankees,2015-04-27 18:05:00-04:00,1,4,8.5
Houston Astros,San Diego Padres,2015-04-27 21:10:00-04:00,9,4,6.5
New York Mets,Miami Marlins,2015-04-27 18:10:00-04:00,3,1,7.5
Milwaukee Brewers,Cincinnati Reds,2015-04-27 18:10:00-04:00,6,9,7.5
Philadelphia Phillies,St. Louis Cardinals,2015-04-27 19:15:00-04:00,4,1,6.5
San Francisco Giants,Los Angeles Dodgers,2015-04-27 21:10:00-04:00,3,8,7.5
Kansas City Royals,Cleveland Indians,2015-04-27 17:10:00-04:00,6,2,6.5
Seattle Mariners,Texas Rangers,2015-04-27 19:05:00-04:00,3,1,9.0
New York Mets,Miami Marlins,2015-04-28 18:10:00-04:00,3,4,7.5
Colorado Rockies,Arizona Diamondbacks,2015-04-28 20:40:00-04:00,5,12,9.0
Toronto Blue Jays,Boston Red Sox,2015-04-28 17:10:00-04:00,11,8,8.5
Washington Nationals,Atlanta Braves,2015-04-28 18:10:00-04:00,13,12,7.0
Milwaukee Brewers,Cincinnati Reds,2015-04-28 18:10:00-04:00,2,4,7.0
Philadelphia Phillies,St. Louis Cardinals,2015-04-28 19:15:00-04:00,5,11,7.0
San Francisco Giants,Los Angeles Dodgers,2015-04-28 21:10:00-04:00,2,1,6.0
Kansas City Royals,Cleveland Indians,2015-04-28 17:10:00-04:00,11,5,7.5
Tampa Bay Rays,New York Yankees,2015-04-28 18:05:00-04:00,2,4,8.0
Los Angeles Angels,Oakland Athletics,2015-04-28 21:05:00-04:00,2,6,7.5
Houston Astros,San Diego Padres,2015-04-28 21:10:00-04:00,14,3,7.0
Colorado Rockies,Arizona Diamondbacks,2015-04-29 20:40:00-04:00,1,9,9.0
Toronto Blue Jays,Boston Red Sox,2015-04-29 17:10:00-04:00,1,4,8.5
Milwaukee Brewers,Cincinnati Reds,2015-04-29 11:35:00-04:00,8,3,7.5
New York Mets,Miami Marlins,2015-04-29 18:10:00-04:00,3,7,7.5
Philadelphia Phillies,St. Louis Cardinals,2015-04-29 19:15:00-04:00,2,5,7.0
San Francisco Giants,Los Angeles Dodgers,2015-04-29 21:10:00-04:00,3,7,7.0
Tampa Bay Rays,New York Yankees,2015-04-29 12:05:00-04:00,3,2,7.5
Kansas City Royals,Cleveland Indians,2015-04-29 17:10:00-04:00,5,7,7.0
Chicago White Sox,Baltimore Orioles,2015-04-29 13:05:00-04:00,2,8,8.0
Los Angeles Angels,Oakland Athletics,2015-04-29 21:05:00-04:00,6,3,7.5
Houston Astros,San Diego Padres,2015-04-29 14:40:00-04:00,7,2,6.5
Milwaukee Brewers,Chicago Cubs,2015-05-02 13:20:00-04:00,6,1,8.0
Colorado Rockies,San Diego Padres,2015-05-02 19:40:00-04:00,2,4,7.0
Chicago White Sox,Minnesota Twins,2015-05-02 13:10:00-04:00,3,5,9.5
Pittsburgh Pirates,St. Louis Cardinals,2015-05-02 13:15:00-04:00,1,2,7.0
Philadelphia Phillies,Miami Marlins,2015-05-02 15:10:00-04:00,0,7,7.0
Arizona Diamondbacks,Los Angeles Dodgers,2015-05-02 20:10:00-04:00,4,6,8.0
New York Yankees,Boston Red Sox,2015-05-02 12:35:00-04:00,4,2,8.5
Toronto Blue Jays,Cleveland Indians,2015-05-02 15:10:00-04:00,11,4,7.5
Seattle Mariners,Houston Astros,2015-05-02 18:10:00-04:00,4,11,8.0
Los Angeles Angels,San Francisco Giants,2015-05-02 15:05:00-04:00,4,5,7.5
Cincinnati Reds,Pittsburgh Pirates,2015-05-05 18:05:00-04:00,7,1,7.5
Tampa Bay Rays,Boston Red Sox,2015-05-05 18:10:00-04:00,0,2,8.0
Cleveland Indians,Kansas City Royals,2015-05-05 19:10:00-04:00,3,5,7.5
Miami Marlins,Washington Nationals,2015-05-05 18:05:00-04:00,2,1,7.0
Philadelphia Phillies,Atlanta Braves,2015-05-05 18:10:00-04:00,0,9,7.0
Chicago Cubs,St. Louis Cardinals,2015-05-05 19:15:00-04:00,4,7,8.0
Texas Rangers,Houston Astros,2015-05-05 19:10:00-04:00,7,1,9.0
Detroit Tigers,Chicago White Sox,2015-05-05 19:10:00-04:00,2,5,8.5
Seattle Mariners,Los Angeles Angels,2015-05-05 21:05:00-04:00,4,5,8.0
Baltimore Orioles,New York Mets,2015-05-05 18:10:00-04:00,2,3,7.0
Arizona Diamondbacks,Colorado Rockies,2015-05-06 14:10:00-04:00,13,7,10.5
Cincinnati Reds,Pittsburgh Pirates,2015-05-06 18:05:00-04:00,3,0,7.0
Tampa Bay Rays,Boston Red Sox,2015-05-06 18:10:00-04:00,5,3,8.5
Detroit Tigers,Chicago White Sox,2015-05-06 19:10:00-04:00,6,7,8.5
Miami Marlins,Washington Nationals,2015-05-06 12:05:00-04:00,5,7,7.0
San Diego Padres,San Francisco Giants,2015-05-06 14:45:00-04:00,9,1,7.0
Philadelphia Phillies,Atlanta Braves,2015-05-06 18:10:00-04:00,5,7,7.5
Chicago Cubs,St. Louis Cardinals,2015-05-06 19:15:00-04:00,6,5,7.0
New York Yankees,Toronto Blue Jays,2015-05-06 18:05:00-04:00,1,5,8.5
Texas Rangers,Houston Astros,2015-05-06 19:10:00-04:00,11,3,8.5
Cleveland Indians,Kansas City Royals,2015-05-06 19:10:00-04:00,10,3,7.0
Seattle Mariners,Los Angeles Angels,2015-05-06 21:05:00-04:00,3,4,8.0
Baltimore Orioles,New York Mets,2015-05-06 18:10:00-04:00,1,5,6.5
Arizona Diamondbacks,Colorado Rockies,2015-05-06 17:10:00-04:00,5,1,10.5
Texas Rangers,Tampa Bay Rays,2015-05-10 12:10:00-04:00,2,1,7.0
Oakland Athletics,Seattle Mariners,2015-05-10 15:10:00-04:00,3,4,6.75
Atlanta Braves,Washington Nationals,2015-05-10 12:35:00-04:00,4,5,7.5
St. Louis Cardinals,Pittsburgh Pirates,2015-05-10 12:35:00-04:00,3,4,7.5
Miami Marlins,San Francisco Giants,2015-05-10 15:05:00-04:00,2,3,7.0
Minnesota Twins,Cleveland Indians,2015-05-10 12:10:00-04:00,2,8,8.0
Baltimore Orioles,New York Yankees,2015-05-10 12:05:00-04:00,2,6,8.0
Houston Astros,Los Angeles Angels,2015-05-10 14:35:00-04:00,1,3,8.0
Cincinnati Reds,Chicago White Sox,2015-05-10 13:10:00-04:00,3,4,8.5
Atlanta Braves,Cincinnati Reds,2015-05-11 18:10:00-04:00,2,1,7.5
New York Yankees,Tampa Bay Rays,2015-05-11 18:10:00-04:00,11,5,7.5
Boston Red Sox,Oakland Athletics,2015-05-11 21:05:00-04:00,5,4,7.5
Chicago White Sox,Milwaukee Brewers,2015-05-11 18:20:00-04:00,7,10,8.0
New York Mets,Chicago Cubs,2015-05-11 19:05:00-04:00,3,4,8.5
Miami Marlins,Los Angeles Dodgers,2015-05-11 21:10:00-04:00,3,5,7.0
Toronto Blue Jays,Baltimore Orioles,2015-05-11 18:05:00-04:00,2,5,8.5
Atlanta Braves,Cincinnati Reds,2015-05-12 18:10:00-04:00,3,4,8.0
Toronto Blue Jays,Baltimore Orioles,2015-05-12 18:05:00-04:00,10,2,9.5
San Francisco Giants,Houston Astros,2015-05-12 19:10:00-04:00,8,1,8.0
Colorado Rockies,Los Angeles Angels,2015-05-12 21:05:00-04:00,2,5,8.0
New York Mets,Chicago Cubs,2015-05-12 19:05:00-04:00,1,6,7.0
Miami Marlins,Los Angeles Dodgers,2015-05-12 21:10:00-04:00,1,11,7.5
Minnesota Twins,Detroit Tigers,2015-05-12 18:05:00-04:00,1,2,9.0
New York Yankees,Tampa Bay Rays,2015-05-12 18:10:00-04:00,2,4,7.0
Boston Red Sox,Oakland Athletics,2015-05-12 21:05:00-04:00,2,9,8.0
St. Louis Cardinals,Cleveland Indians,2015-05-12 17:10:00-04:00,8,3,7.5
San Diego Padres,Seattle Mariners,2015-05-12 21:10:00-04:00,4,11,7.5
Colorado Rockies,Los Angeles Dodgers,2015-05-15 21:10:00-04:00,4,6,6.5
Cleveland Indians,Texas Rangers,2015-05-15 19:05:00-04:00,8,3,9.5
Chicago White Sox,Oakland Athletics,2015-05-15 21:05:00-04:00,7,6,7.0
Pittsburgh Pirates,Chicago Cubs,2015-05-15 13:20:00-04:00,10,11,9.5
Milwaukee Brewers,New York Mets,2015-05-15 18:10:00-04:00,7,0,7.0
Atlanta Braves,Miami Marlins,2015-05-15 18:10:00-04:00,5,3,7.5
Los Angeles Angels,Baltimore Orioles,2015-05-15 18:05:00-04:00,3,1,8.5
Toronto Blue Jays,Houston Astros,2015-05-15 19:10:00-04:00,4,8,8.5
Boston Red Sox,Seattle Mariners,2015-05-15 21:10:00-04:00,1,2,7.5
Detroit Tigers,St. Louis Cardinals,2015-05-15 19:15:00-04:00,10,4,8.0
Chicago Cubs,San Diego Padres,2015-05-19 21:10:00-04:00,3,4,6.5
Seattle Mariners,Baltimore Orioles,2015-05-19 18:05:00-04:00,4,9,8.5
Minnesota Twins,Pittsburgh Pirates,2015-05-19 18:05:00-04:00,8,5,7.5
Arizona Diamondbacks,Miami Marlins,2015-05-19 18:10:00-04:00,4,2,8.0
Philadelphia Phillies,Colorado Rockies,2015-05-19 19:40:00-04:00,5,6,9.0
Los Angeles Angels,Toronto Blue Jays,2015-05-19 18:05:00-04:00,3,2,9.5
Texas Rangers,Boston Red Sox,2015-05-19 18:10:00-04:00,3,4,9.0
Cleveland Indians,Chicago White Sox,2015-05-19 19:10:00-04:00,3,1,7.5
New York Yankees,Washington Nationals,2015-05-19 18:05:00-04:00,6,8,7.5
Milwaukee Brewers,Detroit Tigers,2015-05-19 18:05:00-04:00,8,1,7.5
Cincinnati Reds,Kansas City Royals,2015-05-19 19:10:00-04:00,0,3,6.5
Atlanta Braves,San Francisco Giants,2015-05-28 21:15:00-04:00,0,7,6.5
Detroit Tigers,Los Angeles Angels,2015-05-28 21:05:00-04:00,2,12,8.0
Chicago White Sox,Baltimore Orioles,2015-05-28 15:05:00-04:00,3,6,8.5
New York Mets,Arizona Diamondbacks,2015-06-06 21:10:00-04:00,1,2,8.5
Texas Rangers,Kansas City Royals,2015-06-06 13:10:00-04:00,4,2,8.0
Baltimore Orioles,Cleveland Indians,2015-06-06 15:10:00-04:00,1,2,7.5
St. Louis Cardinals,Los Angeles Dodgers,2015-06-06 21:10:00-04:00,0,2,6.0
Houston Astros,Toronto Blue Jays,2015-06-06 12:05:00-04:00,2,7,8.5
Oakland Athletics,Boston Red Sox,2015-06-06 15:05:00-04:00,2,4,8.5
Tampa Bay Rays,Seattle Mariners,2015-06-06 21:10:00-04:00,1,2,6.5
Milwaukee Brewers,Minnesota Twins,2015-06-06 13:10:00-04:00,4,2,8.5
Philadelphia Phillies,Pittsburgh Pirates,2015-06-12 18:05:00-04:00,0,1,8.0
Colorado Rockies,Miami Marlins,2015-06-12 18:10:00-04:00,1,5,8.0
Chicago White Sox,Tampa Bay Rays,2015-06-12 18:10:00-04:00,5,7,8.0
Cincinnati Reds,Chicago Cubs,2015-06-12 15:05:00-04:00,5,4,6.5
Atlanta Braves,New York Mets,2015-06-12 18:10:00-04:00,3,5,7.0
Washington Nationals,Milwaukee Brewers,2015-06-12 19:10:00-04:00,4,8,7.5
Arizona Diamondbacks,San Francisco Giants,2015-06-12 21:15:00-04:00,1,0,6.5
Cleveland Indians,Detroit Tigers,2015-06-12 18:05:00-04:00,0,4,7.5
Toronto Blue Jays,Boston Red Sox,2015-06-12 18:10:00-04:00,13,10,9.0
Minnesota Twins,Texas Rangers,2015-06-12 19:05:00-04:00,2,6,9.0
Oakland Athletics,Los Angeles Angels,2015-06-12 21:05:00-04:00,4,5,7.5
Kansas City Royals,St. Louis Cardinals,2015-06-12 19:15:00-04:00,0,4,7.0
Baltimore Orioles,Toronto Blue Jays,2015-06-21 12:05:00-04:00,13,9,9.0
Boston Red Sox,Kansas City Royals,2015-06-21 13:10:00-04:00,13,2,8.5
Los Angeles Angels,Oakland Athletics,2015-06-21 15:05:00-04:00,2,3,7.5
Miami Marlins,Cincinnati Reds,2015-06-21 12:10:00-04:00,2,5,8.5
Pittsburgh Pirates,Washington Nationals,2015-06-21 12:35:00-04:00,2,9,8.0
Milwaukee Brewers,Colorado Rockies,2015-06-21 15:10:00-04:00,4,10,11.0
San Francisco Giants,Los Angeles Dodgers,2015-06-21 19:05:00-04:00,2,10,7.5
Detroit Tigers,New York Yankees,2015-06-21 12:05:00-04:00,12,4,8.0
Tampa Bay Rays,Cleveland Indians,2015-06-21 12:10:00-04:00,0,1,8.5
Texas Rangers,Chicago White Sox,2015-06-21 13:10:00-04:00,2,3,8.0
Houston Astros,Seattle Mariners,2015-06-21 15:10:00-04:00,6,2,7.5
Atlanta Braves,Washington Nationals,2015-06-24 18:05:00-04:00,1,2,6.5
Los Angeles Dodgers,Chicago Cubs,2015-06-24 19:05:00-04:00,5,2,8.0
Arizona Diamondbacks,Colorado Rockies,2015-06-24 19:40:00-04:00,8,7,10.5
Toronto Blue Jays,Tampa Bay Rays,2015-06-24 11:10:00-04:00,1,0,7.5
Oakland Athletics,Texas Rangers,2015-06-24 19:05:00-04:00,8,2,9.0
Cincinnati Reds,Pittsburgh Pirates,2015-06-24 18:05:00-04:00,5,2,6.5
New York Mets,Milwaukee Brewers,2015-06-24 19:10:00-04:00,1,4,7.5
San Diego Padres,San Francisco Giants,2015-06-24 21:15:00-04:00,0,6,7.0
Detroit Tigers,Cleveland Indians,2015-06-24 11:10:00-04:00,2,8,8.0
Baltimore Orioles,Boston Red Sox,2015-06-24 18:10:00-04:00,1,5,8.5
Kansas City Royals,Seattle Mariners,2015-06-24 21:10:00-04:00,8,2,7.0
Philadelphia Phillies,New York Yankees,2015-06-24 12:05:00-04:00,2,10,8.0
Los Angeles Dodgers,Chicago Cubs,2015-06-25 13:20:00-04:00,4,0,7.0
San Diego Padres,San Francisco Giants,2015-06-25 14:45:00-04:00,8,13,6.5
Cincinnati Reds,Pittsburgh Pirates,2015-06-25 18:05:00-04:00,5,4,7.5
Baltimore Orioles,Boston Red Sox,2015-06-25 12:35:00-04:00,8,6,8.5
New York Yankees,Houston Astros,2015-06-25 19:10:00-04:00,0,4,7.5
Atlanta Braves,Washington Nationals,2015-06-25 15:05:00-04:00,0,7,7.5
Chicago White Sox,Detroit Tigers,2015-06-25 12:05:00-04:00,8,7,8.5
Arizona Diamondbacks,San Diego Padres,2015-06-26 21:10:00-04:00,2,4,6.5
Chicago White Sox,Detroit Tigers,2015-06-26 18:05:00-04:00,4,5,8.0
Boston Red Sox,Tampa Bay Rays,2015-06-26 18:10:00-04:00,4,3,7.5
Kansas City Royals,Oakland Athletics,2015-06-26 21:05:00-04:00,5,2,7.0
Atlanta Braves,Pittsburgh Pirates,2015-06-26 18:05:00-04:00,2,3,6.5
Chicago Cubs,St. Louis Cardinals,2015-06-26 19:15:00-04:00,2,3,6.5
Colorado Rockies,San Francisco Giants,2015-06-26 21:15:00-04:00,8,6,7.0
Texas Rangers,Toronto Blue Jays,2015-06-26 18:05:00-04:00,2,12,9.0
New York Yankees,Houston Astros,2015-06-26 19:10:00-04:00,3,2,8.5
Seattle Mariners,Los Angeles Angels,2015-06-26 21:05:00-04:00,3,1,7.5
Minnesota Twins,Milwaukee Brewers,2015-06-26 19:10:00-04:00,4,10,7.5
Atlanta Braves,Pittsburgh Pirates,2015-06-27 15:05:00-04:00,4,8,7.0
Cincinnati Reds,New York Mets,2015-06-27 15:10:00-04:00,1,1,7.0
Chicago Cubs,St. Louis Cardinals,2015-06-27 18:15:00-04:00,1,8,7.0
Kansas City Royals,Oakland Athletics,2015-06-27 15:05:00-04:00,3,2,7.0
Colorado Rockies,San Francisco Giants,2015-06-27 15:05:00-04:00,5,7,7.5
Arizona Diamondbacks,San Diego Padres,2015-06-27 21:10:00-04:00,2,7,6.5
Texas Rangers,Toronto Blue Jays,2015-06-27 12:05:00-04:00,4,0,8.5
Boston Red Sox,Tampa Bay Rays,2015-06-27 15:10:00-04:00,1,4,7.5
Seattle Mariners,Los Angeles Angels,2015-06-27 18:15:00-04:00,2,4,7.5
Minnesota Twins,Milwaukee Brewers,2015-06-27 13:10:00-04:00,5,2,8.0
Cincinnati Reds,New York Mets,2015-06-28 12:10:00-04:00,2,7,7.5
Colorado Rockies,San Francisco Giants,2015-06-28 15:05:00-04:00,3,6,7.0
Chicago White Sox,Detroit Tigers,2015-06-28 12:05:00-04:00,4,5,7.5
Cleveland Indians,Baltimore Orioles,2015-06-28 12:35:00-04:00,0,4,8.5
Atlanta Braves,Pittsburgh Pirates,2015-06-28 12:35:00-04:00,2,1,7.0
Chicago Cubs,St. Louis Cardinals,2015-06-28 19:05:00-04:00,1,4,6.5
Arizona Diamondbacks,San Diego Padres,2015-06-28 15:10:00-04:00,6,4,7.5
Texas Rangers,Toronto Blue Jays,2015-06-28 12:05:00-04:00,2,3,9.0
Boston Red Sox,Tampa Bay Rays,2015-06-28 12:10:00-04:00,5,3,7.0
Kansas City Royals,Oakland Athletics,2015-06-28 15:05:00-04:00,5,3,7.5
Minnesota Twins,Milwaukee Brewers,2015-06-28 13:10:00-04:00,3,5,8.0
Cleveland Indians,Baltimore Orioles,2015-06-28 18:05:00-04:00,0,8,9.0
Boston Red Sox,Toronto Blue Jays,2015-06-29 18:05:00-04:00,3,1,8.5
Cleveland Indians,Tampa Bay Rays,2015-06-29 18:10:00-04:00,7,1,7.0
New York Yankees,Los Angeles Angels,2015-06-29 21:05:00-04:00,1,4,8.0
Minnesota Twins,Cincinnati Reds,2015-06-29 18:10:00-04:00,7,11,7.5
Texas Rangers,Baltimore Orioles,2015-06-29 18:05:00-04:00,8,1,9.0
Kansas City Royals,Houston Astros,2015-06-29 19:10:00-04:00,1,6,7.0
Colorado Rockies,Oakland Athletics,2015-06-29 21:05:00-04:00,1,7,8.0
Colorado Rockies,Oakland Athletics,2015-07-01 14:35:00-04:00,1,4,7.5
Pittsburgh Pirates,Detroit Tigers,2015-07-01 18:05:00-04:00,9,3,8.5
Boston Red Sox,Toronto Blue Jays,2015-07-01 12:05:00-04:00,2,11,8.5
Texas Rangers,Baltimore Orioles,2015-07-01 18:05:00-04:00,2,4,8.5
Kansas City Royals,Houston Astros,2015-07-01 19:10:00-04:00,5,6,7.5
Minnesota Twins,Cincinnati Reds,2015-07-01 11:35:00-04:00,1,2,7.0
Seattle Mariners,San Diego Padres,2015-07-01 14:40:00-04:00,7,0,7.0
Chicago White Sox,St. Louis Cardinals,2015-07-01 19:15:00-04:00,7,1,6.5
San Diego Padres,St. Louis Cardinals,2015-07-04 13:15:00-04:00,1,2,7.0
Philadelphia Phillies,Atlanta Braves,2015-07-04 18:15:00-04:00,5,9,7.0
Miami Marlins,Chicago Cubs,2015-07-04 18:15:00-04:00,2,7,7.5
Toronto Blue Jays,Detroit Tigers,2015-07-04 12:05:00-04:00,3,8,9.0
Baltimore Orioles,Chicago White Sox,2015-07-04 13:10:00-04:00,2,3,8.0
Minnesota Twins,Kansas City Royals,2015-07-04 18:15:00-04:00,5,3,8.0
San Francisco Giants,Washington Nationals,2015-07-04 10:05:00-04:00,3,9,6.5
Milwaukee Brewers,Cincinnati Reds,2015-07-04 18:15:00-04:00,7,3,8.5
New York Mets,Los Angeles Dodgers,2015-07-04 18:15:00-04:00,3,4,6.5
Colorado Rockies,Arizona Diamondbacks,2015-07-04 21:10:00-04:00,3,7,9.0
Tampa Bay Rays,New York Yankees,2015-07-04 12:05:00-04:00,2,3,7.5
Houston Astros,Boston Red Sox,2015-07-04 12:35:00-04:00,1,6,8.0
Cleveland Indians,Pittsburgh Pirates,2015-07-04 15:05:00-04:00,0,1,8.0
San Diego Padres,Pittsburgh Pirates,2015-07-06 18:05:00-04:00,1,2,7.0
Atlanta Braves,Milwaukee Brewers,2015-07-06 19:10:00-04:00,5,3,8.5
New York Mets,San Francisco Giants,2015-07-06 21:15:00-04:00,3,0,6.5
Houston Astros,Cleveland Indians,2015-07-06 18:10:00-04:00,9,4,7.0
Detroit Tigers,Seattle Mariners,2015-07-06 21:10:00-04:00,12,5,7.5
Cincinnati Reds,Washington Nationals,2015-07-06 18:05:00-04:00,3,2,7.75
St. Louis Cardinals,Chicago Cubs,2015-07-06 19:05:00-04:00,6,0,8.5
Philadelphia Phillies,Los Angeles Dodgers,2015-07-06 21:10:00-04:00,7,10,8.0
Toronto Blue Jays,Chicago White Sox,2015-07-06 19:10:00-04:00,2,4,7.5
San Diego Padres,Pittsburgh Pirates,2015-07-07 18:05:00-04:00,2,3,7.0
Atlanta Braves,Milwaukee Brewers,2015-07-07 19:10:00-04:00,4,3,7.5
New York Mets,San Francisco Giants,2015-07-07 21:15:00-04:00,0,3,7.0
Arizona Diamondbacks,Texas Rangers,2015-07-07 19:05:00-04:00,4,2,8.5
Tampa Bay Rays,Kansas City Royals,2015-07-07 13:10:00-04:00,5,9,7.0
Cincinnati Reds,Washington Nationals,2015-07-07 18:05:00-04:00,5,0,6.0
St. Louis Cardinals,Chicago Cubs,2015-07-07 19:05:00-04:00,3,5,7.0
Philadelphia Phillies,Los Angeles Dodgers,2015-07-07 21:10:00-04:00,7,2,7.0
Houston Astros,Cleveland Indians,2015-07-07 18:10:00-04:00,0,2,7.0
Tampa Bay Rays,Kansas City Royals,2015-07-07 19:10:00-04:00,1,7,7.0
Detroit Tigers,Seattle Mariners,2015-07-07 21:10:00-04:00,6,7,7.5
Miami Marlins,Boston Red Sox,2015-07-07 18:10:00-04:00,3,4,9.0
St. Louis Cardinals,Chicago Cubs,2015-07-07 12:20:00-04:00,4,7,5.5
Cincinnati Reds,Miami Marlins,2015-07-09 18:10:00-04:00,0,2,7.0
Philadelphia Phillies,Los Angeles Dodgers,2015-07-09 21:10:00-04:00,0,6,7.0
Oakland Athletics,New York Yankees,2015-07-09 12:05:00-04:00,2,6,8.5
Tampa Bay Rays,Kansas City Royals,2015-07-09 13:10:00-04:00,3,8,7.0
St. Louis Cardinals,Pittsburgh Pirates,2015-07-09 18:05:00-04:00,4,1,7.0
Atlanta Braves,Colorado Rockies,2015-07-09 19:40:00-04:00,3,5,10.0
Toronto Blue Jays,Chicago White Sox,2015-07-09 13:10:00-04:00,0,2,8.0
Houston Astros,Cleveland Indians,2015-07-09 18:10:00-04:00,1,3,7.5
Los Angeles Angels,Seattle Mariners,2015-07-09 21:10:00-04:00,2,7,7.0
Atlanta Braves,Colorado Rockies,2015-07-12 15:10:00-04:00,3,11,10.5
St. Louis Cardinals,Pittsburgh Pirates,2015-07-12 19:05:00-04:00,5,6,6.5
New York Yankees,Boston Red Sox,2015-07-12 12:35:00-04:00,8,6,9.0
Detroit Tigers,Minnesota Twins,2015-07-12 13:10:00-04:00,1,7,8.5
Chicago White Sox,Chicago Cubs,2015-07-12 13:20:00-04:00,1,3,6.0
Philadelphia Phillies,San Francisco Giants,2015-07-12 15:05:00-04:00,2,4,7.5
Milwaukee Brewers,Los Angeles Dodgers,2015-07-12 15:10:00-04:00,3,4,7.5
Oakland Athletics,Cleveland Indians,2015-07-12 12:10:00-04:00,2,0,6.5
Toronto Blue Jays,Kansas City Royals,2015-07-12 13:10:00-04:00,10,11,8.5
Los Angeles Angels,Seattle Mariners,2015-07-12 15:10:00-04:00,10,3,7.5
San Diego Padres,Texas Rangers,2015-07-12 14:05:00-04:00,2,1,9.0
Pittsburgh Pirates,Milwaukee Brewers,2015-07-17 19:10:00-04:00,1,4,8.5
San Francisco Giants,Arizona Diamondbacks,2015-07-17 20:40:00-04:00,6,5,8.5
Tampa Bay Rays,Toronto Blue Jays,2015-07-17 18:05:00-04:00,2,6,8.5
Minnesota Twins,Oakland Athletics,2015-07-17 21:05:00-04:00,5,0,6.5
New York Mets,St. Louis Cardinals,2015-07-17 19:15:00-04:00,2,3,7.0
Colorado Rockies,San Diego Padres,2015-07-17 21:10:00-04:00,2,4,7.0
Seattle Mariners,New York Yankees,2015-07-17 18:05:00-04:00,3,4,8.0
Texas Rangers,Houston Astros,2015-07-17 19:10:00-04:00,2,3,8.0
Boston Red Sox,Los Angeles Angels,2015-07-17 21:05:00-04:00,0,1,8.0
Kansas City Royals,Chicago White Sox,2015-07-17 13:10:00-04:00,4,2,7.5
San Francisco Giants,Arizona Diamondbacks,2015-07-18 19:10:00-04:00,8,4,8.5
Tampa Bay Rays,Toronto Blue Jays,2015-07-18 12:05:00-04:00,3,2,9.0
Baltimore Orioles,Detroit Tigers,2015-07-18 18:05:00-04:00,3,0,8.0
Minnesota Twins,Oakland Athletics,2015-07-18 20:05:00-04:00,2,3,7.0
New York Mets,St. Louis Cardinals,2015-07-18 18:15:00-04:00,2,12,7.5
Colorado Rockies,San Diego Padres,2015-07-18 19:40:00-04:00,4,5,6.5
Seattle Mariners,New York Yankees,2015-07-18 12:05:00-04:00,4,3,8.0
Kansas City Royals,Chicago White Sox,2015-07-18 13:10:00-04:00,7,6,7.5
Texas Rangers,Houston Astros,2015-07-18 18:10:00-04:00,7,6,8.5
Boston Red Sox,Los Angeles Angels,2015-07-18 20:05:00-04:00,0,3,7.5
Chicago Cubs,Cincinnati Reds,2015-07-20 18:10:00-04:00,4,5,9.5
